NACE,EuralCode,AG
0123,070216,A
0123,070413,A
0123,080121,A
0123,080501,A
0123,200119,A
0123,200132,A
0123,180108,A
0123,180207,A
0123,200131,A
0123,200128,A
0123,200127,A
0123,100916,A
0123,160115,A
0123,200130,A
0123,100913,A
0123,100915,A
0123,110116,A
0123,110198,A
0123,160113,A
0123,160114,A
0123,160504,A
0123,160903,A
0123,160904,A
0123,180106,A
0123,180205,A
0123,200117,A
0123,200129,A
0123,160402,A
0123,160403,A
0123,160401,A
0123,160506,A
0123,160507,A
0123,160508,A
0123,150110,A
0123,061301,A
0123,061002,A
0123,101014,A
0123,101016,A
0123,101013,A
0123,101015,A
0124,020109,A
0124,080201,A
0124,080307,A
0124,080308,A
0124,020703,A
0124,040109,A
0124,180109,A
0124,180208,A
0124,160505,A
0124,180107,A
0124,180206,A
0124,160509,A
0124,020108,A
0124,070514,A
0124,070513,A
0124,040217,A
0124,080112,A
0124,080114,A
0124,080116,A
0124,080118,A
0124,080120,A
0124,080313,A
0124,080315,A
0124,080318,A
0124,080410,A
0124,080412,A
0124,080414,A
0124,080416,A
0124,040216,A
0124,080111,A
0124,080113,A
0124,080115,A
0124,080117,A
0124,080119,A
0124,080312,A
0124,080314,A
0124,080317,A
0124,080409,A
0124,080411,A
0124,080413,A
0124,080415,A
0124,030299,A
0124,040215,A
0124,070215,A
0124,070217,A
0124,030201,A
0124,030202,A
0124,030203,A
0124,030204,A
0124,030205,A
0124,040214,A
0124,050701,A
0124,060802,A
0124,070214,A
0124,070216,A
0124,070413,A
0124,080121,A
0124,080501,A
0124,200119,A
0124,200132,A
0124,180108,A
0124,180207,A
0124,200131,A
0124,200128,A
0124,200127,A
0124,100916,A
0124,160115,A
0124,200130,A
0124,100913,A
0124,100915,A
0124,110116,A
0124,110198,A
0124,160113,A
0124,160114,A
0124,160504,A
0124,160903,A
0124,160904,A
0124,180106,A
0124,180205,A
0124,200117,A
0124,200129,A
0124,160402,A
0124,160403,A
0124,160401,A
0124,160506,A
0124,160507,A
0124,160508,A
0124,150110,A
0124,061301,A
0124,061002,A
0124,101014,A
0124,101016,A
0124,101013,A
0124,101015,A
0125,020109,A
0125,080201,A
0125,080307,A
0125,080308,A
0125,020703,A
0125,040109,A
0125,180109,A
0125,180208,A
0125,160505,A
0125,180107,A
0125,180206,A
0125,160509,A
0125,020108,A
0125,070514,A
0125,070513,A
0125,040217,A
0125,080112,A
0125,080114,A
0125,080116,A
0125,080118,A
0125,080120,A
0125,080313,A
0125,080315,A
0125,080318,A
0125,080410,A
0125,080412,A
0125,080414,A
0125,080416,A
0125,040216,A
0125,080111,A
0125,080113,A
0125,080115,A
0125,080117,A
0125,080119,A
0125,080312,A
0125,080314,A
0125,080317,A
0125,080409,A
0125,080411,A
0125,080413,A
0125,080415,A
0125,030299,A
0125,040215,A
0125,070215,A
0125,070217,A
0125,030201,A
0125,030202,A
0125,030203,A
0125,030204,A
0125,030205,A
0125,040214,A
0125,050701,A
0125,060802,A
0125,070214,A
0125,070216,A
0125,070413,A
0125,080121,A
0125,080501,A
0125,200119,A
0125,200132,A
0125,180108,A
0125,180207,A
0125,200131,A
0125,200128,A
0125,200127,A
0125,100916,A
0125,160115,A
0125,200130,A
0125,100913,A
0125,100915,A
0125,110116,A
0125,110198,A
0125,160113,A
0125,160114,A
0125,160504,A
0125,160903,A
0125,160904,A
0125,180106,A
0125,180205,A
0125,200117,A
0125,200129,A
0125,160402,A
0125,160403,A
0125,160401,A
0125,160506,A
0125,160507,A
0125,160508,A
0125,150110,A
0125,061301,A
0125,061002,A
0125,101014,A
0125,101016,A
0125,101013,A
0125,101015,A
0126,020109,A
0126,080201,A
0126,080307,A
0126,080308,A
0126,020703,A
0126,040109,A
0126,180109,A
0126,180208,A
0126,160505,A
0126,180107,A
0126,180206,A
0126,160509,A
0126,020108,A
0126,070514,A
0126,070513,A
0126,040217,A
0126,080112,A
0126,080114,A
0126,080116,A
0126,080118,A
0126,080120,A
0126,080313,A
0126,080315,A
0126,080318,A
0126,080410,A
0126,080412,A
0126,080414,A
0126,080416,A
0126,040216,A
0126,080111,A
0126,080113,A
0126,080115,A
0126,080117,A
0126,080119,A
0126,080312,A
0126,080314,A
0126,080317,A
0126,080409,A
0126,080411,A
0126,080413,A
0126,080415,A
0126,030299,A
0126,040215,A
0126,070215,A
0126,070217,A
0126,030201,A
0126,030202,A
0126,030203,A
0126,030204,A
0126,030205,A
0126,040214,A
0126,050701,A
0126,060802,A
0126,070214,A
0126,070216,A
0126,070413,A
0126,080121,A
0126,080501,A
0126,200119,A
0126,200132,A
0126,180108,A
0126,180207,A
0126,200131,A
0126,200128,A
0126,200127,A
0126,100916,A
0126,160115,A
0126,200130,A
0126,100913,A
0126,100915,A
0126,110116,A
0126,110198,A
0126,160113,A
0126,160114,A
0126,160504,A
0126,160903,A
0126,160904,A
0126,180106,A
0126,180205,A
0126,200117,A
0126,200129,A
0126,160402,A
0126,160403,A
0126,160401,A
0126,160506,A
0126,160507,A
0126,160508,A
0126,150110,A
0126,061301,A
0126,061002,A
0126,101014,A
0126,101016,A
0126,101013,A
0126,101015,A
0127,020109,A
0127,080201,A
0127,080307,A
0127,080308,A
0127,020703,A
0127,040109,A
0127,180109,A
0127,180208,A
0127,160505,A
0127,180107,A
0127,180206,A
0127,160509,A
0127,020108,A
0127,070514,A
0127,070513,A
0127,040217,A
0127,080112,A
0127,080114,A
0127,080116,A
0127,080118,A
0127,080120,A
0127,080313,A
0127,080315,A
0127,080318,A
0127,080410,A
0127,080412,A
0127,080414,A
0127,080416,A
0127,040216,A
0127,080111,A
0127,080113,A
0127,080115,A
0127,080117,A
0127,080119,A
0127,080312,A
0127,080314,A
0127,080317,A
0127,080409,A
0127,080411,A
0127,080413,A
0127,080415,A
0127,030299,A
0127,040215,A
0127,070215,A
0127,070217,A
0127,030201,A
0127,030202,A
0127,030203,A
0127,030204,A
0127,030205,A
0127,040214,A
0127,050701,A
0127,060802,A
0127,070214,A
0127,070216,A
0127,070413,A
0127,080121,A
0127,080501,A
0127,200119,A
0127,200132,A
0127,180108,A
0127,180207,A
0127,200131,A
0127,200128,A
0127,200127,A
0127,100916,A
0127,160115,A
0127,200130,A
0127,100913,A
0127,100915,A
0127,110116,A
0127,110198,A
0127,160113,A
0127,160114,A
0127,160504,A
0127,160903,A
0127,160904,A
0127,180106,A
0127,180205,A
0127,200117,A
0127,200129,A
0127,160402,A
0127,160403,A
0127,160401,A
0127,160506,A
0127,160507,A
0127,160508,A
0127,150110,A
0127,061301,A
0127,061002,A
0127,101014,A
0127,101016,A
0127,101013,A
0127,101015,A
0128,020109,A
0128,080201,A
0128,080307,A
0128,080308,A
0128,020703,A
0128,040109,A
0128,180109,A
0128,180208,A
0128,160505,A
0128,180107,A
0128,180206,A
0128,160509,A
0128,020108,A
0128,070514,A
0128,070513,A
0128,040217,A
0128,080112,A
0128,080114,A
0128,080116,A
0128,080118,A
0128,080120,A
0128,080313,A
0128,080315,A
0128,080318,A
0128,080410,A
0128,080412,A
0128,080414,A
0128,080416,A
0128,040216,A
0128,080111,A
0128,080113,A
0128,080115,A
0128,080117,A
0128,080119,A
0128,080312,A
0128,080314,A
0128,080317,A
0128,080409,A
0128,080411,A
0128,080413,A
0128,080415,A
0128,030299,A
0128,040215,A
0128,070215,A
0128,070217,A
0128,030201,A
0128,030202,A
0128,030203,A
0128,030204,A
0128,030205,A
0128,040214,A
0128,050701,A
0128,060802,A
0128,070214,A
0128,070216,A
0128,070413,A
0128,080121,A
0128,080501,A
0128,200119,A
0128,200132,A
0128,180108,A
0128,180207,A
0128,200131,A
0128,200128,A
0128,200127,A
0128,100916,A
0128,160115,A
0128,200130,A
0128,100913,A
0128,100915,A
0128,110116,A
0128,110198,A
0128,160113,A
0128,160114,A
0128,160504,A
0128,160903,A
0128,160904,A
0128,180106,A
0128,180205,A
0128,200117,A
0128,200129,A
0128,160402,A
0128,160403,A
0128,160401,A
0128,160506,A
0128,160507,A
0128,160508,A
0128,150110,A
0128,061301,A
0128,061002,A
0128,101014,A
0128,101016,A
0128,101013,A
0128,101015,A
0129,020109,A
0129,080201,A
0129,080307,A
0129,080308,A
0129,020703,A
0129,040109,A
0129,180109,A
0129,180208,A
0129,160505,A
0129,180107,A
0129,180206,A
0129,160509,A
0129,020108,A
0129,070514,A
0129,070513,A
0129,040217,A
0129,080112,A
0129,080114,A
0129,080116,A
0129,080118,A
0129,080120,A
0129,080313,A
0129,080315,A
0129,080318,A
0129,080410,A
0129,080412,A
0129,080414,A
0129,080416,A
0129,040216,A
0129,080111,A
0129,080113,A
0129,080115,A
0129,080117,A
0129,080119,A
0129,080312,A
0129,080314,A
0129,080317,A
0129,080409,A
0129,080411,A
0129,080413,A
0129,080415,A
0129,030299,A
0129,040215,A
0129,070215,A
0129,070217,A
0129,030201,A
0129,030202,A
0129,030203,A
0129,030204,A
0129,030205,A
0129,040214,A
0129,050701,A
0129,060802,A
0129,070214,A
0129,070216,A
0129,070413,A
0129,080121,A
0129,080501,A
0129,200119,A
0129,200132,A
0129,180108,A
0129,180207,A
0129,200131,A
0129,200128,A
0129,200127,A
0129,100916,A
0129,160115,A
0129,200130,A
0129,100913,A
0129,100915,A
0129,110116,A
0129,110198,A
0129,160113,A
0129,160114,A
0129,160504,A
0129,160903,A
0129,160904,A
0129,180106,A
0129,180205,A
0129,200117,A
0129,200129,A
0129,160402,A
0129,160403,A
0129,160401,A
0129,160506,A
0129,160507,A
0129,160508,A
0129,150110,A
0129,061301,A
0129,061002,A
0129,101014,A
0129,101016,A
0129,101013,A
0129,101015,A
0130,020109,A
0130,080201,A
0130,080307,A
0130,080308,A
0130,020703,A
0130,040109,A
0130,180109,A
0130,180208,A
0130,160505,A
0130,180107,A
0130,180206,A
0130,160509,A
0130,020108,A
0130,070514,A
0130,070513,A
0130,040217,A
0130,080112,A
0130,080114,A
0130,080116,A
0130,080118,A
0130,080120,A
0130,080313,A
0130,080315,A
0130,080318,A
0130,080410,A
0130,080412,A
0130,080414,A
0130,080416,A
0130,040216,A
0130,080111,A
0130,080113,A
0130,080115,A
0130,080117,A
0130,080119,A
0130,080312,A
0130,080314,A
0130,080317,A
0130,080409,A
0130,080411,A
0130,080413,A
0130,080415,A
0130,030299,A
0130,040215,A
0130,070215,A
0130,070217,A
0130,030201,A
0130,030202,A
0130,030203,A
0130,030204,A
0130,030205,A
0130,040214,A
0130,050701,A
0130,060802,A
0130,070214,A
0130,070216,A
0130,070413,A
0130,080121,A
0130,080501,A
0130,200119,A
0130,200132,A
0130,180108,A
0130,180207,A
0130,200131,A
0130,200128,A
0130,200127,A
0130,100916,A
0130,160115,A
0130,200130,A
0130,100913,A
0130,100915,A
0130,110116,A
0130,110198,A
0130,160113,A
0130,160114,A
0130,160504,A
0130,160903,A
0130,160904,A
0130,180106,A
0130,180205,A
0130,200117,A
0130,200129,A
0130,160402,A
0130,160403,A
0130,160401,A
0130,160506,A
0130,160507,A
0130,160508,A
0130,150110,A
0130,061301,A
0130,061002,A
0130,101014,A
0130,101016,A
0130,101013,A
0130,101015,A
0141,020109,A
0141,080201,A
0141,080307,A
0141,080308,A
0141,020703,A
0141,040109,A
0141,180109,A
0141,180208,A
0141,160505,A
0141,180107,A
0141,180206,A
0141,160509,A
0141,020108,A
0141,070514,A
0141,070513,A
0141,040217,A
0141,080112,A
0141,080114,A
0141,080116,A
0141,080118,A
0141,080120,A
0141,080313,A
0141,080315,A
0141,080318,A
0141,080410,A
0141,080412,A
0141,080414,A
0141,080416,A
0141,040216,A
0141,080111,A
0141,080113,A
0141,080115,A
0141,080117,A
0141,080119,A
0141,080312,A
0141,080314,A
0141,080317,A
0141,080409,A
0141,080411,A
0141,080413,A
0141,080415,A
0141,030299,A
0141,040215,A
0141,070215,A
0141,070217,A
0141,030201,A
0141,030202,A
0141,030203,A
0141,030204,A
0141,030205,A
0141,040214,A
0141,050701,A
0141,060802,A
0141,070214,A
0141,070216,A
0141,070413,A
0141,080121,A
0141,080501,A
0141,200119,A
0141,200132,A
0141,180108,A
0141,180207,A
0141,200131,A
0141,200128,A
0141,200127,A
0141,100916,A
0141,160115,A
0141,200130,A
0141,100913,A
0141,100915,A
0141,110116,A
0141,110198,A
0141,160113,A
0141,160114,A
0141,160504,A
0141,160903,A
0141,160904,A
0141,180106,A
0141,180205,A
0141,200117,A
0141,200129,A
0141,160402,A
0141,160403,A
0141,160401,A
0141,160506,A
0141,160507,A
0141,160508,A
0141,150110,A
0141,061301,A
0141,061002,A
0141,101014,A
0141,101016,A
0141,101013,A
0141,101015,A
0142,020109,A
0142,080201,A
0142,080307,A
0142,080308,A
0142,020703,A
0142,040109,A
0142,180109,A
0142,180208,A
0142,160505,A
0142,180107,A
0142,180206,A
0142,160509,A
0142,020108,A
0142,070514,A
0142,070513,A
0142,040217,A
0142,080112,A
0142,080114,A
0142,080116,A
0142,080118,A
0142,080120,A
0142,080313,A
0142,080315,A
0142,080318,A
0142,080410,A
0142,080412,A
0142,080414,A
0142,080416,A
0142,040216,A
0142,080111,A
0142,080113,A
0142,080115,A
0142,080117,A
0142,080119,A
0142,080312,A
0142,080314,A
0142,080317,A
0142,080409,A
0142,080411,A
0142,080413,A
0142,080415,A
0142,030299,A
0142,040215,A
0142,070215,A
0142,070217,A
0142,030201,A
0142,030202,A
0142,030203,A
0142,030204,A
0142,030205,A
0142,040214,A
0142,050701,A
0142,060802,A
