id;geometry;waste amount;co2 amount
122;LINESTRING(6.839917277 52.726789746, 6.791801592 52.728185742);734,492;0,541972882
124;LINESTRING(6.874256753 52.756113206, 6.860965514 52.7590898);0,008;9,41208E-06
125;LINESTRING(6.860965514 52.7590898, 6.852622475 52.76126665, 6.841773006 52.762218444);14289,14;2,46548651
127;LINESTRING(6.8929034 52.78866293, 6.8840191 52.7881799, 6.8521428 52.7907262, 6.847593458 52.790949417);19,9;0,038696846
128;LINESTRING(6.857766633 52.815918733, 6.8576214 52.8158297, 6.8483885 52.7936122, 6.847593458 52.790949417);13,26;0,011433716
129;LINESTRING(6.847593458 52.790949417, 6.8465144 52.7878481, 6.8434281 52.766559, 6.841773006 52.762218444);35,96;0,063262076
130;LINESTRING(6.841773006 52.762218444, 6.822389736 52.7483012);14325,1;3,734175905
131;LINESTRING(6.822389736 52.7483012, 6.791801592 52.728185742);14330,76;5,622171833
132;LINESTRING(6.791801592 52.728185742, 6.78084412 52.72611994);15248,632;1,574515183
134;LINESTRING(6.78084412 52.72611994, 6.731089055 52.72453398);15248,632;6,837520832
136;LINESTRING(6.75274195 52.707164008, 6.7554925 52.7041074, 6.747822 52.6762332, 6.74926515 52.6743192);596,764;0,626269247
137;LINESTRING(6.75274195 52.707164008, 6.7488094 52.705404, 6.7332825 52.6811547, 6.729832317 52.676919467);8902,123;4,225708446
138;LINESTRING(6.75274195 52.707164008, 6.7510785 52.7084345, 6.7447968 52.7140242, 6.744164025 52.71468305, 6.7435108 52.7151985, 6.7329606 52.7232888, 6.731089055 52.72453398);9513,996;3,165952583
140;LINESTRING(6.74926515 52.6743192, 6.746032 52.6746032, 6.7378971 52.6674589, 6.738695337 52.664075187);79,772;0,043647614
141;LINESTRING(6.729832317 52.676919467, 6.7267145 52.672797, 6.7187123 52.6626234, 6.71641737 52.65819276);8902,123;2,564457573
142;LINESTRING(6.731089055 52.72453398, 6.60817395 52.712472512, 6.515863525 52.714415911);24796,106;49,15545887
144;LINESTRING(6.71641737 52.65819276, 6.7146607 52.658777, 6.6558265 52.6540419);17,84;0,017237994
145;LINESTRING(6.71641737 52.65819276, 6.70803745 52.65091985, 6.705541 52.6492618, 6.6959025 52.6450053);273,313;0,080028066
149;LINESTRING(6.515863525 52.714415911, 6.46452106 52.70960986);28597,404;13,23614519
150;LINESTRING(6.505810137 52.731512225, 6.5038831 52.7309419, 6.5037994 52.7299306, 6.501437364 52.723086973);40470,584;5,062459306
152;LINESTRING(6.501437364 52.723086973, 6.478203075 52.720435413, 6.463264073 52.719669973);41734,259;13,4921863
154;LINESTRING(6.46452106 52.70960986, 6.44997547 52.70724307);28624,654;3,854865303
158;LINESTRING(6.463264073 52.719669973, 6.468189275 52.739442725);298933,123;71,36965521
159;LINESTRING(6.463264073 52.719669973, 6.452574833 52.718190533, 6.4514874 52.7178214);340837,029;30,77545409
160;LINESTRING(6.44997547 52.70724307, 6.4514874 52.7178214);340837,029;44,07725105
162;LINESTRING(6.44997547 52.70724307, 6.4506044 52.6986058, 6.4447572 52.6718496, 6.444036345 52.671217982);369461,683;166,4680652
164;LINESTRING(6.468189275 52.739442725, 6.447080995 52.774702868);291222,529;129,19586
165;LINESTRING(6.447080995 52.774702868, 6.463443844 52.814981469);250301,482;117,6413159
167;LINESTRING(6.463443844 52.814981469, 6.496793083 52.857011892);15428,06;14,2733906
168;LINESTRING(6.463443844 52.814981469, 6.4573232 52.8185818, 6.375205 52.8392347, 6.37501345 52.83923335, 6.3748219 52.839232, 6.3635473 52.8391113, 6.3633751 52.8391686, 6.3632029 52.8392259, 6.3416626 52.8472922, 6.341450775 52.847338875);68,92;0,197953494
169;LINESTRING(6.463443844 52.814981469, 6.4676212 52.8164379, 6.5051012 52.8526523, 6.50768612 52.85367502);234792,822;120,1071782
173;LINESTRING(6.444036345 52.671217982, 6.4421238 52.6715692, 6.4437191 52.6753872, 6.4285349 52.6767531);629,189;0,110461337
174;LINESTRING(6.444036345 52.671217982, 6.443049 52.6688065, 6.4076252 52.610342);370095,772;296,7843915
175;LINESTRING(6.4340083 52.6968987, 6.4285349 52.6767531);0,24;0,000670741
176;LINESTRING(6.384930467 52.685207033, 6.3901228 52.6857379, 6.3979536 52.6759766);261,391;0,046040795
177;LINESTRING(6.384930467 52.685207033, 6.3681124 52.68203032);261,391;0,035049311
178;LINESTRING(6.4285349 52.6767531, 6.423950633 52.676720333);261,391;0,009125284
179;LINESTRING(6.423950633 52.676720333, 6.4214713 52.6766982, 6.3979536 52.6759766);261,391;0,051805796
180;LINESTRING(6.496793083 52.857011892, 6.4959568 52.8576735, 6.5137537 52.8781542, 6.511274 52.878501656);15390,901;7,770272105
